model internalized from file ok
model is updating
1 updates took 0 s
DIC already monitored
model is updating
30000 updates took 661 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	b[14]	0.002287	0.04015	-0.0768	0.002244	0.0815	30000
	b[16]	-0.03609	0.01725	-0.07004	-0.03613	-0.001254	30000
	b[17]	-0.04597	0.02115	-0.08824	-0.04597	-0.0038	30000
	b[18]	-0.03657	0.01649	-0.06823	-0.03701	-0.002302	30000
	b[19]	0.01127	0.02498	-0.03787	0.01117	0.06124	30000
	b[20]	1.872E-5	0.02617	-0.05085	-2.373E-4	0.05228	30000
	deviance	-5138.0	56.0	-5249.0	-5138.0	-5029.0	30000
	sd.uL[1]	0.09755	0.01518	0.0716	0.09609	0.1318	30000
	sd.uL[2]	0.08236	0.01304	0.05979	0.08102	0.1119	30000
	sd.uL[3]	0.0848	0.01295	0.06237	0.0835	0.1148	30000
	sd.uL[4]	0.1151	0.01724	0.08598	0.1134	0.1544	30000
	sd.uL[5]	0.05428	0.009596	0.03691	0.05342	0.07646	30000
	sd.uL[6]	0.08802	0.01324	0.06486	0.08678	0.1182	30000
	sd.uL[7]	0.1285	0.01891	0.09643	0.1267	0.1708	30000
	sd.uL[8]	0.05841	0.01009	0.04043	0.05731	0.08212	30000
	sd.uL[9]	0.1929	0.02747	0.147	0.1898	0.2539	30000
	sd.uL[10]	0.09553	0.01455	0.07056	0.09408	0.1286	30000
	sd.uL[11]	0.05052	0.01896	0.01723	0.04903	0.09253	30000
	sd.uL[12]	0.06256	0.02935	0.0105	0.06063	0.1271	30000
	sd.uL[13]	0.07573	0.01977	0.04143	0.07378	0.1199	30000
	sd.uL[14]	0.1672	0.03425	0.1099	0.1636	0.2447	30000
	sd.uL[16]	0.05682	0.01492	0.03095	0.05533	0.09038	30000
	sd.uL[17]	0.08692	0.0175	0.05692	0.08538	0.1272	30000
	sd.uL[18]	0.0496	0.01682	0.02026	0.0481	0.0868	30000
	sd.uL[19]	0.111	0.0203	0.07705	0.1089	0.1566	30000
	sd.uL[20]	0.119	0.02238	0.08182	0.1167	0.1696	30000
	vLH.pred[1]	0.8035	0.03136	0.7417	0.8035	0.8655	30000
	vLH.pred[2]	0.5959	0.02784	0.5421	0.5953	0.6513	30000
	vLH.pred[3]	0.497	0.02828	0.4411	0.4968	0.553	30000
	vLH.pred[4]	0.6383	0.03622	0.5669	0.6384	0.7103	30000
	vLH.pred[5]	0.8285	0.01971	0.7895	0.8285	0.8677	30000
	vLH.pred[6]	0.6279	0.02888	0.5712	0.6279	0.6852	30000
	vLH.pred[7]	0.5853	0.03991	0.507	0.585	0.6649	30000
	vLH.pred[8]	0.6055	0.02122	0.5631	0.6057	0.6476	30000
	vLH.pred[9]	0.6072	0.05822	0.4932	0.6071	0.7228	30000
	vLH.pred[10]	0.6537	0.03089	0.5923	0.6538	0.7144	30000
	vLH.prede[1]	0.8041	0.104	0.5994	0.803	1.011	30000
	vLH.prede[2]	0.596	0.08838	0.4224	0.5962	0.7711	30000
	vLH.prede[3]	0.4964	0.09063	0.3175	0.4962	0.6765	30000
	vLH.prede[4]	0.6376	0.1218	0.394	0.6378	0.8791	30000
	vLH.prede[5]	0.8286	0.05854	0.7139	0.8285	0.9439	30000
	vLH.prede[6]	0.6285	0.09353	0.4449	0.6285	0.8133	30000
	vLH.prede[7]	0.5847	0.1356	0.316	0.5841	0.8511	30000
	vLH.prede[8]	0.6048	0.06306	0.4808	0.6048	0.729	30000
	vLH.prede[9]	0.6074	0.203	0.2069	0.6067	1.012	30000
	vLH.prede[10]	0.6533	0.1009	0.4547	0.6524	0.8535	30000
	vLL.pred[1]	0.6486	0.05016	0.5496	0.6488	0.7474	30000
	vLL.pred[2]	0.5968	0.04443	0.5087	0.5969	0.6833	30000
	vLL.pred[3]	0.5735	0.04511	0.4844	0.5733	0.6628	30000
	vLL.pred[4]	0.5719	0.05711	0.4585	0.5718	0.6839	30000
	vLL.pred[5]	0.7563	0.03211	0.6926	0.7564	0.8203	30000
	vLL.pred[6]	0.3825	0.04555	0.2927	0.3826	0.4721	30000
	vLL.pred[7]	0.4118	0.06239	0.2875	0.4121	0.5329	30000
	vLL.pred[8]	0.3679	0.03429	0.2999	0.368	0.4356	30000
	vLL.pred[9]	-0.007472	0.08886	-0.1824	-0.007404	0.1675	30000
	vLL.pred[10]	0.5022	0.04871	0.4071	0.5019	0.6	30000
	vLL.prede[1]	0.6492	0.1109	0.4305	0.6486	0.8684	30000
	vLL.prede[2]	0.5968	0.09462	0.4095	0.5963	0.7842	30000
	vLL.prede[3]	0.574	0.09746	0.3824	0.5741	0.766	30000
	vLL.prede[4]	0.5716	0.1292	0.3156	0.5719	0.8266	30000
	vLL.prede[5]	0.7568	0.06334	0.6326	0.7569	0.8827	30000
	vLL.prede[6]	0.383	0.1002	0.1827	0.3831	0.5794	30000
	vLL.prede[7]	0.4121	0.1448	0.126	0.4129	0.6993	30000
	vLL.prede[8]	0.368	0.06859	0.2314	0.3683	0.5032	30000
	vLL.prede[9]	-0.007113	0.2142	-0.4344	-0.006088	0.4118	30000
	vLL.prede[10]	0.5029	0.1088	0.2872	0.5031	0.7177	30000
Deviance information
	Dbar	Dhat	DIC	pD	
vL	0.002809	1.382E-10	0.005617	0.002809
vR	-5139.0	-5712.0	-4565.0	573.3
total	-5139.0	-5712.0	-4565.0	573.3
History
model externalized to file ok
